| Entity | Name                                       | Purpose | Name                                         |
| 3121   | CHF - Orchard Park                         | 72      | Institutional Support General Administration |
| 3121   | CHF - Orchard Park                         | 76      | Auxiliary Enterprises                        |
| 3121   | CHF - Orchard Park                         | 78      | Student Financial Aid                        |
| 3121   | CHF - Orchard Park                         | 79      | Department of Energy Laboratories            |
| 3121   | CHF - Orchard Park                         | 80      | Provisions for Allocations                   |
| 3210   | UCD Medical Center                         | 00      | Purpose Value Default                        |
| 3210   | UCD Medical Center                         | 42      | Teaching Hospitals                           |
| 3210   | UCD Medical Center                         | 65      | Depreciation                                 |
| 3210   | UCD Medical Center                         | 66      | Impairment                                   |
| 3210   | UCD Medical Center                         | 72      | Institutional Support General Administration |
| 3299   | UCD Medical Center - Elimination Entries   | 00      | Purpose Value Default                        |
| 3299   | UCD Medical Center - Elimination Entries   | 42      | Teaching Hospitals                           |
| 3299   | UCD Medical Center - Elimination Entries   | 65      | Depreciation                                 |
| 3299   | UCD Medical Center - Elimination Entries   | 66      | Impairment                                   |
| 3310   | UCD - ANR                                  | 00      | Purpose Value Default                        |
| 3310   | UCD - ANR                                  | 40      | Instruction                                  |
| 3310   | UCD - ANR                                  | 41      | Summer Session                               |
| 3310   | UCD - ANR                                  | 43      | Academic Support                             |
| 3310   | UCD - ANR                                  | 44      | Research Non AES                             |
| 3310   | UCD - ANR                                  | 45      | AES Research                                 |
| 3310   | UCD - ANR                                  | 60      | Libraries                                    |
| 3310   | UCD - ANR                                  | 61      | University Extension                         |
| 3310   | UCD - ANR                                  | 62      | Public Service                               |
| 3310   | UCD - ANR                                  | 64      | Operations Maintenance of Plant              |
| 3310   | UCD - ANR                                  | 65      | Depreciation                                 |
| 3310   | UCD - ANR                                  | 66      | Impairment                                   |
| 3310   | UCD - ANR                                  | 68      | Student Services                             |
| 3310   | UCD - ANR                                  | 72      | Institutional Support General Administration |
| 3310   | UCD - ANR                                  | 76      | Auxiliary Enterprises                        |
| 3310   | UCD - ANR                                  | 78      | Student Financial Aid                        |
| 3310   | UCD - ANR                                  | 79      | Department of Energy Laboratories            |
| 3310   | UCD - ANR                                  | 80      | Provisions for Allocations                   |
| 3410   | UCD - UCOP                                 | 00      | Purpose Value Default                        |
| 3410   | UCD - UCOP                                 | 40      | Instruction                                  |
| 3410   | UCD - UCOP                                 | 41      | Summer Session                               |
| 3410   | UCD - UCOP                                 | 43      | Academic Support                             |
| 3410   | UCD - UCOP                                 | 44      | Research Non AES                             |
| 3410   | UCD - UCOP                                 | 45      | AES Research                                 |
| 3410   | UCD - UCOP                                 | 60      | Libraries                                    |
| 3410   | UCD - UCOP                                 | 61      | University Extension                         |
| 3410   | UCD - UCOP                                 | 62      | Public Service                               |
| 3410   | UCD - UCOP                                 | 64      | Operations Maintenance of Plant              |
| 3410   | UCD - UCOP                                 | 65      | Depreciation                                 |
| 3410   | UCD - UCOP                                 | 66      | Impairment                                   |
| 3410   | UCD - UCOP                                 | 68      | Student Services                             |
| 3410   | UCD - UCOP                                 | 72      | Institutional Support General Administration |
| 3410   | UCD - UCOP                                 | 76      | Auxiliary Enterprises                        |
| 3410   | UCD - UCOP                                 | 78      | Student Financial Aid                        |
| 3410   | UCD - UCOP                                 | 79      | Department of Energy Laboratories            |
| 3410   | UCD - UCOP                                 | 80      | Provisions for Allocations                   |
| 3710   | UC Davis Foundation                        | 00      | Purpose Value Default                        |
| 3710   | UC Davis Foundation                        | 40      | Instruction                                  |
| 3710   | UC Davis Foundation                        | 41      | Summer Session                               |
| 3710   | UC Davis Foundation                        | 43      | Academic Support                             |
| 3710   | UC Davis Foundation                        | 44      | Research Non AES                             |
| 3710   | UC Davis Foundation                        | 45      | AES Research                                 |
| 3710   | UC Davis Foundation                        | 60      | Libraries                                    |
| 3710   | UC Davis Foundation                        | 61      | University Extension                         |
| 3710   | UC Davis Foundation                        | 62      | Public Service                               |
| 3710   | UC Davis Foundation                        | 64      | Operations Maintenance of Plant              |
| 3710   | UC Davis Foundation                        | 65      | Depreciation                                 |
| 3710   | UC Davis Foundation                        | 66      | Impairment                                   |
| 3710   | UC Davis Foundation                        | 68      | Student Services                             |
| 3710   | UC Davis Foundation                        | 72      | Institutional Support General Administration |
| 3710   | UC Davis Foundation                        | 76      | Auxiliary Enterprises                        |
| 3710   | UC Davis Foundation                        | 78      | Student Financial Aid                        |
| 3710   | UC Davis Foundation                        | 79      | Department of Energy Laboratories            |
| 3710   | UC Davis Foundation                        | 80      | Provisions for Allocations                   |
| 3810   | Cal Aggie Alumni Association               | 00      | Purpose Value Default                        |
| 3810   | Cal Aggie Alumni Association               | 40      | Instruction                                  |
| 3810   | Cal Aggie Alumni Association               | 41      | Summer Session                               |
| 3810   | Cal Aggie Alumni Association               | 43      | Academic Support                             |
| 3810   | Cal Aggie Alumni Association               | 44      | Research Non AES                             |
| 3810   | Cal Aggie Alumni Association               | 45      | AES Research                                 |
| 3810   | Cal Aggie Alumni Association               | 60      | Libraries                                    |
| 3810   | Cal Aggie Alumni Association               | 61      | University Extension                         |
| 3810   | Cal Aggie Alumni Association               | 62      | Public Service                               |
| 3810   | Cal Aggie Alumni Association               | 64      | Operations Maintenance of Plant              |
| 3810   | Cal Aggie Alumni Association               | 65      | Depreciation                                 |
| 3810   | Cal Aggie Alumni Association               | 66      | Impairment                                   |
| 3810   | Cal Aggie Alumni Association               | 68      | Student Services                             |
| 3810   | Cal Aggie Alumni Association               | 72      | Institutional Support General Administration |
| 3810   | Cal Aggie Alumni Association               | 76      | Auxiliary Enterprises                        |
| 3810   | Cal Aggie Alumni Association               | 78      | Student Financial Aid                        |
| 3810   | Cal Aggie Alumni Association               | 79      | Department of Energy Laboratories            |
| 3810   | Cal Aggie Alumni Association               | 80      | Provisions for Allocations                   |
| 9999   | Elimination                                | 00      | Purpose Value Default                        |
